Date,Wheat,Coffe,Corn
3/20/1974,4.805,0.7453,2.9825
3/21/1974,4.77,0.7653,2.9825
3/22/1974,4.895,0.7568,3.0325
3/25/1974,4.75,0.7368,2.9325
3/26/1974,4.915,0.72,2.895
3/27/1974,4.715,0.734,2.825
3/28/1974,4.515,0.7315,2.7875
3/29/1974,4.315,0.749,2.78
4/1/1974,4.145,0.7305,2.68
4/2/1974,3.975,0.7365,2.58
4/3/1974,4.175,0.734,2.675
4/4/1974,4.22,0.7425,2.5775
4/5/1974,4.27,0.726,2.5175
4/8/1974,4.365,0.708,2.54
4/9/1974,4.255,0.712,2.64
4/10/1974,4.275,0.716,2.6725
4/11/1974,4.31,0.714,2.5725
4/15/1974,4.475,0.71,2.6425
4/16/1974,4.35,0.69,2.62
4/17/1974,4.175,0.6993,2.61
4/18/1974,4.115,0.707,2.6225
4/19/1974,4.1175,0.7148,2.675
4/22/1974,4.165,0.719,2.7125
4/23/1974,4.075,0.704,2.7025
4/24/1974,4.095,0.6985,2.7175
4/25/1974,4.27,0.699,2.819
4/26/1974,4.0465,0.7088,2.851
4/29/1974,3.837,0.7162,2.7585
4/30/1974,3.784,0.7246,2.7755
5/1/1974,3.655,0.7455,2.7175
5/2/1974,3.665,0.744,2.705
5/3/1974,3.57,0.7415,2.62
5/6/1974,3.37,0.7215,2.52
5/7/1974,3.405,0.7285,2.5175
5/8/1974,3.52,0.7356,2.58
5/9/1974,3.36,0.7458,2.55
5/10/1974,3.4325,0.7463,2.6125
5/13/1974,3.555,0.7338,2.6525
5/14/1974,3.555,0.7325,2.64
5/15/1974,3.69,0.7125,2.67
5/16/1974,3.705,0.7293,2.71
5/17/1974,3.565,0.7355,2.6975
5/20/1974,3.425,0.7278,2.6025
5/21/1974,3.46,0.7328,2.645
5/22/1974,3.405,0.731,2.615
5/23/1974,3.415,0.7138,2.61
5/24/1974,3.405,0.7243,2.6125
5/28/1974,3.475,0.7165,2.6275
5/29/1974,3.605,0.7255,2.705
5/30/1974,3.575,0.7263,2.6875
5/31/1974,3.525,0.7313,2.66
6/3/1974,3.5175,0.7355,2.6175
6/4/1974,3.575,0.7325,2.6325
6/5/1974,3.74,0.7393,2.7325
6/6/1974,3.595,0.7428,2.7625
6/7/1974,3.655,0.7435,2.775
6/10/1974,3.61,0.7505,2.7725
6/11/1974,3.805,0.7478,2.7675
6/12/1974,3.87,0.7475,2.795
6/13/1974,3.88,0.748,2.79
6/14/1974,3.855,0.7495,2.7525
6/17/1974,4.055,0.737,2.8225
6/18/1974,4.05,0.717,2.8075
6/19/1974,4.25,0.7318,2.8975
6/20/1974,4.43,0.726,2.8675
6/21/1974,4.57,0.7098,2.9425
6/24/1974,4.77,0.6898,3.0425
6/25/1974,4.567,0.6752,2.9175
6/26/1974,4.522,0.6914,2.973
6/27/1974,4.328,0.6868,2.9035
6/28/1974,4.134,0.7054,2.9105
7/1/1974,4.34,0.7075,2.9925
7/2/1974,4.415,0.711,2.955
7/3/1974,4.435,0.723,3.0025
7/5/1974,4.38,0.718,3.0025
7/8/1974,4.58,0.698,3.1025
7/9/1974,4.445,0.69,3.055
7/10/1974,4.37,0.699,2.9775
7/11/1974,4.38,0.719,3.02
7/12/1974,4.45,0.728,3.1075
7/15/1974,4.44,0.726,3.2075
7/16/1974,4.255,0.7292,3.18
7/17/1974,4.23,0.7328,3.1425
7/18/1974,4.43,0.7128,3.2425
7/19/1974,4.415,0.6928,3.3225
7/22/1974,4.46,0.695,3.275
7/23/1974,4.465,0.68,3.3325
7/24/1974,4.615,0.6985,3.4325
7/25/1974,4.63,0.69,3.5325
7/26/1974,4.58,0.697,3.6325
7/29/1974,4.78,0.6908,3.7325
7/30/1974,4.58,0.698,3.695
7/31/1974,4.72,0.6925,3.795
8/1/1974,4.52,0.6725,3.695
8/2/1974,4.32,0.6635,3.595
8/5/1974,4.445,0.649,3.495
8/6/1974,4.535,0.646,3.595
8/7/1974,4.585,0.626,3.695
8/8/1974,4.455,0.625,3.64
8/9/1974,4.285,0.6243,3.54
8/12/1974,4.315,0.6047,3.44
8/13/1974,4.515,0.624,3.54
8/14/1974,4.445,0.604,3.64
8/15/1974,4.295,0.599,3.575
8/16/1974,4.345,0.5935,3.6725
8/19/1974,4.295,0.582,3.6475
8/20/1974,4.225,0.602,3.5475
8/21/1974,4.385,0.622,3.525
8/22/1974,4.42,0.642,3.625
8/23/1974,4.395,0.6615,3.6675
8/26/1974,4.26,0.7015,3.5675
8/27/1974,4.286,0.6942,3.489
8/28/1974,4.369,0.6594,3.518
8/29/1974,4.403,0.6381,3.458
8/30/1974,4.3965,0.6048,3.427
9/3/1974,4.28,0.5735,3.3225
9/4/1974,4.41,0.5645,3.265
9/5/1974,4.42,0.556,3.345
9/6/1974,4.3875,0.5615,3.38
9/9/1974,4.475,0.5625,3.48
9/10/1974,4.425,0.565,3.4475
9/11/1974,4.495,0.548,3.495
9/12/1974,4.525,0.538,3.565
9/13/1974,4.485,0.518,3.5075
9/16/1974,4.355,0.5017,3.4075
9/17/1974,4.47,0.5217,3.365
9/18/1974,4.475,0.5045,3.3925
9/19/1974,4.525,0.5245,3.435
9/20/1974,4.4675,0.5215,3.415
9/23/1974,4.52,0.5415,3.515
9/24/1974,4.5775,0.549,3.615
9/25/1974,4.6075,0.569,3.575
9/26/1974,4.73,0.5615,3.675
9/27/1974,4.78,0.562,3.775
9/30/1974,4.93,0.542,3.875
10/1/1974,4.77,0.5445,3.775
10/2/1974,4.965,0.5525,3.85
10/3/1974,5.165,0.565,3.95
10/4/1974,5.245,0.564,3.9375
10/7/1974,5.045,0.565,3.8375
10/8/1974,5.04,0.585,3.7375
10/9/1974,5.195,0.5805,3.79
10/10/1974,5.17,0.5845,3.8575
10/11/1974,5.16,0.5844,3.785
10/15/1974,5.17,0.5962,3.8825
10/16/1974,5.1225,0.5932,3.8625
10/17/1974,5.175,0.5858,3.805
10/18/1974,5.145,0.5835,3.8025
10/21/1974,5.2075,0.574,3.8275
10/22/1974,5.2725,0.58,3.8225
10/23/1974,5.24,0.58,3.775
10/24/1974,5.265,0.5725,3.72
10/25/1974,5.275,0.5665,3.6275
10/28/1974,5.12,0.579,3.6375
10/29/1974,5.155,0.57,3.7375
10/30/1974,5.245,0.5759,3.7475
10/31/1974,5.2075,0.576,3.8075
11/1/1974,5.155,0.572,3.765
11/4/1974,5.1575,0.572,3.7825
11/6/1974,5.155,0.58,3.79
11/7/1974,5.14,0.5873,3.7825
11/8/1974,5.12,0.5965,3.795
11/12/1974,4.925,0.6165,3.725
11/13/1974,4.915,0.5997,3.735
11/14/1974,4.915,0.609,3.7325
11/15/1974,4.86,0.608,3.64
11/18/1974,4.66,0.6185,3.54
11/19/1974,4.795,0.632,3.465
11/20/1974,4.82,0.6205,3.565
11/21/1974,4.6725,0.6135,3.465
11/22/1974,4.7225,0.6075,3.4775
11/25/1974,4.799,0.5991,3.499
11/26/1974,5.008,0.5979,3.6035
11/27/1974,4.962,0.6089,3.652
11/29/1974,5.0485,0.6144,3.731
12/2/1974,4.9875,0.6135,3.7225
12/3/1974,5.085,0.6077,3.7925
12/4/1974,4.985,0.599,3.715
12/5/1974,5.0375,0.579,3.7475
12/6/1974,4.925,0.5758,3.65
12/9/1974,4.805,0.587,3.6175
12/10/1974,4.835,0.579,3.6375
12/11/1974,4.805,0.5825,3.6325
12/12/1974,4.8175,0.5958,3.6525
12/13/1974,4.7775,0.5913,3.6375
12/16/1974,4.665,0.6023,3.59
12/17/1974,4.6725,0.5935,3.5225
12/18/1974,4.695,0.5968,3.58
12/19/1974,4.7175,0.6,3.5725
12/20/1974,4.72,0.6015,3.55
12/23/1974,4.6275,0.6,3.4725
12/27/1974,4.565,0.6013,3.395
12/30/1974,4.5325,0.596,3.3825
12/31/1974,4.585,0.5962,3.4175
1/2/1975,4.5775,0.5959,3.4675
1/3/1975,4.4925,0.5941,3.435
1/6/1975,4.41,0.5865,3.5075
1/7/1975,4.21,0.584,3.415
1/8/1975,4.225,0.5825,3.3875
1/9/1975,4.2175,0.576,3.375
1/10/1975,4.2425,0.5728,3.4125
1/13/1975,4.21,0.5568,3.3975
1/14/1975,4.265,0.565,3.405
1/15/1975,4.24,0.5535,3.3725
1/16/1975,4.04,0.5465,3.3025
1/17/1975,3.84,0.549,3.2025
1/20/1975,3.785,0.546,3.1025
1/21/1975,3.94,0.5383,3.1225
1/22/1975,3.78,0.537,3.0225
1/23/1975,3.98,0.5405,3.1225
1/24/1975,4.05,0.5605,3.1875
1/27/1975,3.895,0.5523,3.11
1/28/1975,3.8975,0.5498,3.145
1/29/1975,3.9,0.553,3.1775
1/30/1975,3.895,0.552,3.1625
1/31/1975,3.795,0.5475,3.1125
2/3/1975,3.855,0.5518,3.0775
2/4/1975,3.9425,0.549,3.1375
2/5/1975,3.875,0.5396,3.1075
2/6/1975,3.9352,0.54,3.1225
2/7/1975,3.995,0.5387,3.135
2/10/1975,3.9825,0.537,3.0925
2/11/1975,4.075,0.544,3.1175
2/13/1975,4.115,0.564,3.11
2/14/1975,4.085,0.557,3.1025
2/18/1975,3.93,0.537,3.0175
2/19/1975,3.845,0.522,2.9175
2/20/1975,3.8825,0.5225,2.8575
2/21/1975,3.8075,0.5275,2.805
2/24/1975,3.805,0.5205,2.7825
2/25/1975,3.7485,0.523,2.7345
2/26/1975,3.697,0.5187,2.738
2/27/1975,3.632,0.516,2.6985
2/28/1975,3.487,0.514,2.6145
3/3/1975,3.48,0.5075,2.685
3/4/1975,3.535,0.5185,2.695
3/5/1975,3.5975,0.513,2.745
3/6/1975,3.655,0.5145,2.8325
3/7/1975,3.555,0.522,2.78
3/10/1975,3.5475,0.523,2.805
3/11/1975,3.735,0.523,2.905
3/12/1975,3.6725,0.516,2.965
3/13/1975,3.625,0.515,2.87
3/14/1975,3.575,0.5085,2.83
3/17/1975,3.635,0.502,2.875
3/18/1975,3.545,0.5092,2.825
3/19/1975,3.5725,0.508,2.865
3/20/1975,3.59,0.506,2.845
3/21/1975,3.705,0.5098,2.94
3/24/1975,3.645,0.51,2.905
3/25/1975,3.685,0.514,2.92
3/26/1975,3.77,0.5162,3.005
3/27/1975,3.7475,0.519,2.945
3/31/1975,3.8725,0.519,2.9875
4/1/1975,3.8425,0.5105,3.03
4/2/1975,3.8525,0.4943,3
4/3/1975,3.76,0.5005,2.9475
4/4/1975,3.7725,0.4885,2.975
4/7/1975,3.725,0.4915,2.965
4/8/1975,3.7225,0.484,2.9525
4/9/1975,3.7325,0.4775,2.955
4/10/1975,3.6025,0.47,2.855
4/11/1975,3.6025,0.463,2.8425
4/14/1975,3.5875,0.469,2.8275
4/15/1975,3.465,0.475,2.7975
4/16/1975,3.495,0.47,2.785
4/17/1975,3.5075,0.475,2.865
4/18/1975,3.4875,0.4795,2.8125
4/21/1975,3.4425,0.49,2.8225
4/22/1975,3.365,0.4795,2.805
4/23/1975,3.3975,0.4735,2.825
4/24/1975,3.3825,0.468,2.8675
4/25/1975,3.4125,0.4739,2.945
4/28/1975,3.4365,0.4756,2.9275
4/29/1975,3.3495,0.4798,2.869
4/30/1975,3.3025,0.4855,2.855
5/1/1975,3.175,0.496,2.7525
5/2/1975,3.19,0.5,2.7725
5/5/1975,3.0925,0.5005,2.715
5/6/1975,3.1175,0.519,2.72
5/7/1975,3.125,0.5032,2.6825
5/8/1975,3.1425,0.5143,2.715
5/9/1975,3.1475,0.516,2.705
5/12/1975,3.135,0.514,2.74
5/13/1975,3.1425,0.5025,2.775
5/14/1975,3.135,0.5075,2.7525
5/15/1975,3.1075,0.5078,2.7125
5/16/1975,3.0825,0.5195,2.6875
5/19/1975,3.2575,0.525,2.7275
5/20/1975,3.1875,0.5238,2.75
5/21/1975,3.24,0.532,2.805
5/22/1975,3.2475,0.545,2.76
5/23/1975,3.215,0.5465,2.74
5/27/1975,3.0875,0.546,2.6675
5/28/1975,3.095,0.5325,2.6775
5/29/1975,3.0675,0.535,2.6825
5/30/1975,3.055,0.5411,2.705
6/2/1975,2.9575,0.54,2.7
6/3/1975,3.0075,0.547,2.735
6/4/1975,3.005,0.558,2.7525
6/5/1975,2.9775,0.561,2.7525
6/6/1975,2.965,0.5725,2.7225
6/9/1975,3.0475,0.5903,2.765
6/10/1975,3.02,0.5845,2.765
6/11/1975,3.0025,0.5915,2.7925
6/12/1975,2.965,0.585,2.7725
6/13/1975,2.975,0.5945,2.78
6/16/1975,3.05,0.5958,2.8175
6/17/1975,3.2375,0.5758,2.86
6/18/1975,3.1725,0.5645,2.8625
6/19/1975,3.115,0.5575,2.8475
6/20/1975,3.235,0.5545,2.905
6/23/1975,3.1625,0.5345,2.8725
6/24/1975,3.2175,0.5208,2.8875
6/25/1975,3.1225,0.5376,2.805
6/26/1975,3.099,0.5331,2.7335
6/27/1975,3.0515,0.5436,2.607
6/30/1975,3.0625,0.548,2.542
7/1/1975,3.04,0.5443,2.4925
7/2/1975,3.0225,0.536,2.5275
7/3/1975,3.0575,0.5305,2.575
7/7/1975,3.0825,0.5413,2.5625
7/8/1975,3.2825,0.5495,2.6625
7/9/1975,3.385,0.5438,2.6575
7/10/1975,3.505,0.5405,2.6525
7/11/1975,3.675,0.5472,2.74
7/14/1975,3.59,0.5465,2.6875
7/15/1975,3.615,0.5448,2.755
7/16/1975,3.765,0.55,2.8025
7/17/1975,3.63,0.57,2.725
7/18/1975,3.515,0.59,2.6325
7/21/1975,3.6025,0.61,2.7325
7/22/1975,3.63,0.65,2.725
7/23/1975,3.565,0.69,2.69
7/24/1975,3.6875,0.73,2.7875
7/25/1975,3.76,0.77,2.8225
7/28/1975,3.905,0.81,2.9225
7/29/1975,3.805,0.8223,2.9875
7/30/1975,3.6425,0.8345,2.8875
7/31/1975,3.6675,0.8405,2.87
8/1/1975,3.695,0.849,2.9025
8/4/1975,3.705,0.879,2.9925
8/5/1975,3.695,0.854,2.975
8/6/1975,3.7425,0.85,3.0325
8/7/1975,3.9425,0.8335,3.1325
8/8/1975,3.855,0.848,3.085
8/11/1975,3.835,0.839,3.0675
8/12/1975,3.9325,0.836,3.13
8/13/1975,4.055,0.8375,3.165
8/14/1975,4.115,0.8435,3.18
8/15/1975,4.1675,0.862,3.205
8/18/1975,4.13,0.8665,3.135
8/19/1975,4.2325,0.8617,3.1925
8/20/1975,4.395,0.86,3.2725
8/21/1975,4.475,0.8437,3.225
8/22/1975,4.475,0.8385,3.2175
8/25/1975,4.405,0.821,3.1975
8/26/1975,4.243,0.8337,3.1005
8/27/1975,4.311,0.8415,3.1365
8/28/1975,4.183,0.8434,3.0815
8/29/1975,4.217,0.8376,3.027
9/2/1975,4.1475,0.823,2.955
9/3/1975,4.285,0.8015,2.9775
9/4/1975,4.325,0.816,2.975
9/5/1975,4.3275,0.8135,3
9/8/1975,4.23,0.7945,2.9675
9/9/1975,4.215,0.797,2.8875
9/10/1975,4.245,0.784,2.9275
9/11/1975,4.175,0.785,2.905
9/12/1975,4.335,0.8051,3.005
9/15/1975,4.265,0.822,3.0075
9/16/1975,4.305,0.8247,3.0675
9/17/1975,4.435,0.8178,3.1575
9/18/1975,4.385,0.822,3.1125
9/19/1975,4.3775,0.8335,3.0925
9/22/1975,4.33,0.829,3.0525
9/23/1975,4.255,0.8365,3.0125
9/24/1975,4.2625,0.829,3.03
9/25/1975,4.375,0.8248,3.0525
9/26/1975,4.365,0.8215,3.065
9/29/1975,4.28,0.816,3.03
9/30/1975,4.295,0.8093,3.0325
10/1/1975,4.295,0.809,3.0625
10/2/1975,4.1075,0.811,2.9675
10/3/1975,4.135,0.819,2.9875
10/6/1975,4.18,0.8215,2.975
10/7/1975,4.215,0.8115,2.99
10/8/1975,4.1375,0.8,3.0025
10/9/1975,4.1525,0.81,3
10/10/1975,4.1875,0.8125,3.0025
10/14/1975,4.1325,0.81,2.9625
10/15/1975,4.045,0.805,2.9275
10/16/1975,4.0975,0.8137,2.9525
10/17/1975,4.0575,0.8187,2.9175
10/20/1975,4.13,0.8122,2.9275
10/21/1975,3.95,0.8095,2.855
10/22/1975,3.965,0.8035,2.8425
10/23/1975,3.9225,0.8055,2.83
10/24/1975,3.915,0.802,2.815
10/27/1975,3.7925,0.8075,2.7525
10/28/1975,3.845,0.808,2.7525
10/29/1975,3.9,0.8119,2.7725
10/30/1975,3.9475,0.8083,2.8125
10/31/1975,3.8625,0.801,2.7775
11/3/1975,3.7475,0.791,2.7375
11/5/1975,3.795,0.7765,2.775
11/6/1975,3.73,0.7737,2.7525
11/7/1975,3.705,0.773,2.7325
11/10/1975,3.6375,0.7715,2.6925
11/12/1975,3.505,0.757,2.65
11/13/1975,3.475,0.7582,2.6475
11/14/1975,3.5175,0.767,2.6525
11/17/1975,3.515,0.7665,2.655
11/18/1975,3.425,0.7753,2.6175
11/19/1975,3.3375,0.7685,2.5975
11/20/1975,3.32,0.7825,2.61
11/24/1975,3.595,0.7775,2.767
11/25/1975,3.538,0.777,2.743
11/26/1975,3.554,0.7802,2.7805
11/28/1975,3.529,0.8012,2.774
12/1/1975,3.555,0.7935,2.795
12/2/1975,3.5825,0.7965,2.795
12/3/1975,3.565,0.7968,2.7725
12/4/1975,3.6225,0.7948,2.7825
12/5/1975,3.5775,0.794,2.76
12/8/1975,3.445,0.81,2.6825
12/9/1975,3.4725,0.8088,2.7125
12/10/1975,3.4675,0.8235,2.6975
12/11/1975,3.4775,0.826,2.7025
12/12/1975,3.3475,0.8345,2.62
12/15/1975,3.325,0.8545,2.595
12/16/1975,3.3675,0.8605,2.6275
12/17/1975,3.3775,0.8548,2.645
12/18/1975,3.3925,0.8715,2.6425
12/19/1975,3.43,0.8686,2.6775
12/22/1975,3.4075,0.879,2.6675
12/23/1975,3.3775,0.8775,2.635
12/24/1975,3.375,0.875,2.63
12/29/1975,3.305,0.871,2.6
12/30/1975,3.3375,0.871,2.6025
12/31/1975,3.3575,0.8725,2.615
1/5/1976,3.5025,0.871,2.65
1/6/1976,3.4725,0.869,2.645
1/7/1976,3.56,0.889,2.69
1/8/1976,3.54,0.909,2.6875
1/9/1976,3.5175,0.9165,2.6675
1/12/1976,3.6175,0.9365,2.6975
1/13/1976,3.595,0.932,2.705
1/14/1976,3.5975,0.9447,2.7025
1/15/1976,3.5625,0.941,2.6925
1/16/1976,3.5575,0.945,2.705
1/19/1976,3.5925,0.965,2.7275
1/20/1976,3.5825,0.967,2.7325
1/21/1976,3.5575,0.9562,2.705
1/22/1976,3.4875,0.9505,2.685
1/23/1976,3.5,0.935,2.7125
1/26/1976,3.3425,0.9175,2.6125
1/27/1976,3.3875,0.9375,2.6175
1/28/1976,3.4075,0.9535,2.6325
1/29/1976,3.4325,0.9465,2.64
1/30/1976,3.4975,0.95,2.65
2/2/1976,3.5725,0.9675,2.68
2/3/1976,3.585,0.9605,2.6775
2/4/1976,3.5175,0.9745,2.6675
2/5/1976,3.51,0.9895,2.66
2/6/1976,3.5325,1.0095,2.665
2/9/1976,3.5325,1.0295,2.655
2/10/1976,3.6875,1.0133,2.675
2/11/1976,3.7525,1.023,2.6825
2/13/1976,3.825,1.0335,2.6975
2/17/1976,3.9125,1.0135,2.7025
2/18/1976,3.785,1.0105,2.6925
2/19/1976,3.8325,1.0114,2.6975
2/20/1976,3.765,0.9914,2.6875
2/23/1976,3.8025,0.9835,2.695
2/24/1976,3.867,0.988,2.6965
2/25/1976,3.943,0.973,2.719
2/26/1976,3.798,0.9551,2.7275
2/27/1976,3.995,0.9627,2.767
3/1/1976,3.93,0.9515,2.7675
3/2/1976,3.795,0.9657,2.7275
3/3/1976,3.8,0.971,2.745
3/4/1976,3.885,0.983,2.755
3/5/1976,3.8675,0.988,2.76
3/8/1976,3.7975,0.9815,2.7425
3/9/1976,3.8125,0.9854,2.75
3/10/1976,3.77,0.986,2.745
3/11/1976,3.695,0.974,2.735
3/12/1976,3.715,0.9793,2.7175
3/15/1976,3.7075,0.9612,2.69
3/16/1976,3.655,0.961,2.68
3/17/1976,3.7075,0.981,2.71
3/18/1976,3.745,0.998,2.7325
3/19/1976,3.7325,0.996,2.73
3/22/1976,3.7675,1.016,2.7375
3/23/1976,3.695,1.0245,2.695
3/24/1976,3.6675,1.039,2.6975
3/25/1976,3.5825,1.0413,2.6875
3/26/1976,3.5375,1.0392,2.68
3/29/1976,3.4675,1.0592,2.6525
3/30/1976,3.5175,1.067,2.67
3/31/1976,3.435,1.087,2.655
4/1/1976,3.4775,1.107,2.6525
4/2/1976,3.475,1.1235,2.6575
4/5/1976,3.495,1.1435,2.67
4/6/1976,3.54,1.1635,2.68
4/7/1976,3.5075,1.1475,2.6725
4/8/1976,3.5275,1.1675,2.6725
4/9/1976,3.52,1.1875,2.665
4/12/1976,3.485,1.2075,2.66
4/13/1976,3.4525,1.198,2.6425
4/14/1976,3.46,1.218,2.6425
4/15/1976,3.565,1.2355,2.67
4/19/1976,3.52,1.2555,2.665
4/20/1976,3.4925,1.2755,2.665
4/21/1976,3.4675,1.2555,2.67
4/22/1976,3.46,1.2755,2.68
4/23/1976,3.3575,1.2835,2.68
4/26/1976,3.35,1.339,2.6725
4/27/1976,3.3115,1.3047,2.6835
4/28/1976,3.363,1.2753,2.7275
4/29/1976,3.334,1.2915,2.715
4/30/1976,3.3575,1.2593,2.7305
5/3/1976,3.4075,1.225,2.75
5/4/1976,3.3875,1.2445,2.7425
5/5/1976,3.3725,1.2745,2.7475
5/6/1976,3.3975,1.3045,2.765
5/7/1976,3.385,1.3345,2.7825
5/10/1976,3.4275,1.3375,2.8
5/11/1976,3.445,1.3515,2.8025
5/12/1976,3.49,1.3815,2.825
5/13/1976,3.59,1.401,2.8575
5/14/1976,3.575,1.395,2.8775
5/17/1976,3.555,1.3845,2.8425
5/18/1976,3.5,1.3545,2.8325
5/19/1976,3.4775,1.3455,2.82
5/20/1976,3.4525,1.3755,2.83
5/21/1976,3.4475,1.4025,2.8625
5/24/1976,3.5975,1.3915,2.9225
5/25/1976,3.5,1.4213,2.9
5/26/1976,3.5375,1.413,2.91
5/27/1976,3.5775,1.383,2.9325
